model,temperature,top_p,frequency_penalty,presence_penalty,prompt,calls_per_cue,num_cues,hash,jaccard,recall10,ent_gap
gpt-4.1-nano,0.7,1.0,0.0,0.6,chatml_func,1,5,0045bf21,0.0621,1.0,2.6376
gpt-4.1-nano,0.7,0.95,0.3,0.0,chatml_func,5,5,010ccf4d,0.0398,1.0,0.9189
gpt-4.1-nano,0.7,1.0,0.3,0.6,human_json,1,5,0a91f2e8,0.06,1.0,2.5241
gpt-4.1-nano,0.7,1.0,0.3,0.0,human_json,10,5,10440efb,0.041,1.0,1.0456
gpt-4.1-nano,1.1,1.0,0.3,0.6,human_json,10,5,12ffc084,0.0288,1.0,0.5434
gpt-4.1-nano,1.1,1.0,0.3,0.0,human_json,10,5,148fe10c,0.0222,0.8,0.5491
gpt-4.1-nano,1.1,1.0,0.3,0.6,human_json,5,5,1a725bf2,0.0439,1.0,0.7427
gpt-4.1-nano,1.1,1.0,0.0,0.6,chatml_func,1,5,1f7fe9e1,0.0638,1.0,2.1352
gpt-4.1-nano,1.1,1.0,0.0,0.6,human_json,10,5,21765caa,0.0253,0.6,0.6061
gpt-4.1-nano,0.7,1.0,0.3,0.0,chatml_func,5,5,24bcbf41,0.0563,1.0,0.8707
gpt-4.1-nano,1.1,1.0,0.0,0.0,chatml_func,10,5,25306c9b,0.0285,1.0,0.8101
gpt-4.1-nano,0.7,0.95,0.3,0.6,human_json,1,5,26170362,0.0549,1.0,2.7301
gpt-4.1-nano,0.7,0.95,0.3,0.0,chatml_func,10,5,2c4a8615,0.0397,1.0,0.4725
gpt-4.1-nano,1.1,1.0,0.0,0.6,chatml_func,10,5,34410b60,0.032,1.0,0.6294
gpt-4.1-nano,1.1,1.0,0.0,0.6,chatml_func,5,5,36b5538a,0.0453,1.0,0.7427
gpt-4.1-nano,0.7,1.0,0.0,0.0,chatml_func,10,5,37cf948d,0.035,1.0,0.6284
gpt-4.1-nano,0.7,1.0,0.3,0.0,chatml_func,1,5,3b8d2f85,0.0543,1.0,2.6359
gpt-4.1-nano,0.7,0.95,0.3,0.6,chatml_func,10,5,3ee7f392,0.034,1.0,0.435
gpt-4.1-nano,0.7,0.95,0.0,0.6,human_json,10,5,3fc826ea,0.0361,1.0,0.667
gpt-4.1-nano,1.1,1.0,0.3,0.6,chatml_func,1,5,4a8edb7a,0.0546,1.0,2.127
gpt-4.1-nano,1.1,1.0,0.3,0.6,chatml_func,5,5,4d7234b0,0.0395,1.0,0.7633
gpt-4.1-nano,0.7,0.95,0.0,0.0,chatml_func,5,5,51e62bc9,0.0523,1.0,0.844
gpt-4.1-nano,0.7,0.95,0.3,0.0,chatml_func,1,5,54b12487,0.0575,1.0,2.6278
gpt-4.1-nano,1.1,1.0,0.0,0.0,chatml_func,1,5,54e7470e,0.0556,1.0,2.3591
gpt-4.1-nano,0.7,1.0,0.3,0.0,human_json,1,5,5b4b24b7,0.0627,1.0,2.4325
gpt-4.1-nano,0.7,1.0,0.3,0.0,human_json,5,5,5d4b54f9,0.0502,1.0,1.0622
